Image,Group,Row,Col,Size
1,82,A,2,0
1,82,A,4,11
1,82,A,6,0
1,88,A,10,7
1,88,A,12,0
1,88,A,14,0
1,58,A,19,0
1,58,A,21,0
1,58,A,23,0
1,82,C,2,0
1,82,C,4,4
1,82,C,6,6
1,88,C,10,0
1,88,C,12,5
1,88,C,14,5
1,58,C,19,0
1,58,C,21,0
1,58,C,23,0
1,82,E,2,7
1,82,E,4,0
1,82,E,6,7
1,88,E,10,9
1,88,E,12,0
1,88,E,14,11
1,58,E,19,0
1,58,E,21,0
1,58,E,23,0
1,82,G,2,6
1,82,G,4,4
1,82,G,6,8
1,88,G,10,0
1,88,G,12,0
1,88,G,14,0
1,58,G,19,0
1,58,G,21,0
1,58,G,23,0
1,80,J,2,0
1,80,J,4,4
1,80,J,6,0
1,72,J,10,0
1,72,J,12,0
1,72,J,14,0
1,74,J,19,0
1,74,J,21,0
1,74,J,23,0
1,80,L,2,0
1,80,L,4,0
1,80,L,6,0
1,72,L,10,0
1,72,L,12,0
1,72,L,14,0
1,74,L,19,0
1,74,L,21,0
1,74,L,23,0
1,80,N,2,4
1,80,N,4,0
1,80,N,6,5
1,72,N,10,0
1,72,N,12,0
1,72,N,14,0
1,74,N,19,0
1,74,N,21,0
1,74,N,23,0
1,80,P,2,0
1,80,P,4,0
1,80,P,6,0
1,72,P,10,0
1,72,P,12,10
1,72,P,14,0
1,74,P,19,0
1,74,P,21,9
1,74,P,23,4
2,76,A,2,0
2,76,A,4,7
2,76,A,6,7
2,124,A,11,0
2,124,A,13,0
2,124,A,15,0
2,126,A,19,0
2,126,A,21,0
2,126,A,23,0
2,76,C,2,0
2,76,C,4,0
2,76,C,6,0
2,124,C,11,4
2,124,C,13,0
2,124,C,15,0
2,126,C,19,0
2,126,C,21,0
2,126,C,23,0
2,76,E,2,0
2,76,E,4,0
2,76,E,6,0
2,124,E,11,0
2,124,E,13,0
2,124,E,15,0
2,126,E,19,0
2,126,E,21,0
2,126,E,23,0
2,76,G,2,0
2,76,G,4,0
2,76,G,6,0
2,124,G,11,0
2,124,G,13,4
2,124,G,15,0
2,126,G,19,0
2,126,G,21,0
2,126,G,23,0
2,128,J,2,0
2,128,J,4,0
2,128,J,6,0
2,130,J,11,0
2,130,J,13,0
2,130,J,15,0
2,1,J,19,8
2,1,J,21,7
2,1,J,23,0
2,128,L,2,0
2,128,L,4,0
2,128,L,6,0
2,130,L,11,0
2,130,L,13,0
2,130,L,15,0
2,1,L,19,8
2,1,L,21,5
2,1,L,23,4
2,128,N,2,0
2,128,N,4,0
2,128,N,6,0
2,130,N,11,0
2,130,N,13,0
2,130,N,15,0
2,1,N,19,0
2,1,N,21,4
2,1,N,23,0
2,128,P,2,0
2,128,P,4,4
2,128,P,6,0
2,130,P,11,0
2,130,P,13,0
2,130,P,15,0
2,1,P,19,0
2,1,P,21,4
2,1,P,23,0
3,82,A,2,0
3,82,A,4,0
3,82,A,6,0
3,88,A,10,8
3,88,A,12,7
3,88,A,14,7
3,58,A,19,0
3,58,A,21,0
3,58,A,23,0
3,82,C,2,0
3,82,C,4,0
3,82,C,6,0
3,88,C,10,0
3,88,C,12,0
3,88,C,14,7
3,58,C,19,0
3,58,C,21,0
3,58,C,23,0
3,82,E,2,0
3,82,E,4,0
3,82,E,6,4
3,88,E,10,0
3,88,E,12,7
3,88,E,14,0
3,58,E,19,0
3,58,E,21,0
3,58,E,23,0
3,82,G,2,5
3,82,G,4,0
3,82,G,6,0
3,88,G,10,0
3,88,G,12,0
3,88,G,14,0
3,58,G,19,0
3,58,G,21,0
3,58,G,23,0
3,80,J,2,0
3,80,J,4,4
3,80,J,6,0
3,72,J,10,0
3,72,J,12,0
3,72,J,14,0
